support,itemsets,length
0.22833333333333333,"frozenset({'Yes save_act', 'Not Married'})",2
0.215,"frozenset({'No save_act', '(-0.003, 1.0]'})",2
0.20166666666666666,"frozenset({'No save_act', 'No mortgage'})",2
0.22666666666666666,"frozenset({'Has current_act', 'No save_act'})",2
0.48833333333333334,"frozenset({'Has current_act', 'Is Married'})",2
0.46166666666666667,"frozenset({'Yes save_act', 'Is Married'})",2
0.4483333333333333,"frozenset({'Is Married', '(-0.003, 1.0]'})",2
0.3433333333333333,"frozenset({'Yes save_act', 'Is Married', 'Has current_act'})",3
0.33,"frozenset({'Has current_act', 'Is Married', '(-0.003, 1.0]'})",3
0.30666666666666664,"frozenset({'Yes save_act', 'Is Married', '(-0.003, 1.0]'})",3
0.225,"frozenset({'Yes save_act', 'Is Married', '(-0.003, 1.0]', 'Has current_act'})",4
0.4066666666666667,"frozenset({'Has current_act', 'No pep'})",2
0.4033333333333333,"frozenset({'Is Married', 'No pep'})",2
0.39166666666666666,"frozenset({'Yes save_act', 'No pep'})",2
0.34833333333333333,"frozenset({'No pep', 'No mortgage'})",2
0.32,"frozenset({'(-0.003, 1.0]', 'No pep'})",2
0.295,"frozenset({'Has current_act', 'Is Married', 'No pep'})",3
0.29833333333333334,"frozenset({'Yes save_act', 'No pep', 'Has current_act'})",3
0.2916666666666667,"frozenset({'Yes save_act', 'Is Married', 'No pep'})",3
0.21666666666666667,"frozenset({'Yes save_act', 'Is Married', 'No pep', 'Has current_act'})",4
0.285,"frozenset({'Is Married', 'No pep', 'No mortgage'})",3
0.2633333333333333,"frozenset({'Has current_act', 'No pep', 'No mortgage'})",3
0.23666666666666666,"frozenset({'Yes save_act', 'No pep', 'No mortgage'})",3
0.215,"frozenset({'Has current_act', 'No pep', 'Is Married', 'No mortgage'})",4
0.2,"frozenset({'Yes save_act', 'No pep', 'Is Married', 'No mortgage'})",4
0.26,"frozenset({'Is Married', '(-0.003, 1.0]', 'No pep'})",3
0.24333333333333335,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'No pep'})",3
0.24,"frozenset({'Has current_act', '(-0.003, 1.0]', 'No pep'})",3
0.2,"frozenset({'No pep', '(-0.003, 1.0]', 'No mortgage'})",3
0.375,"frozenset({'Has current_act', 'MALE'})",2
0.335,"frozenset({'Is Married', 'MALE'})",2
0.26,"frozenset({'MALE', 'No pep'})",2
0.3333333333333333,"frozenset({'(-0.003, 1.0]', 'MALE'})",2
0.31,"frozenset({'MALE', 'No mortgage'})",2
0.25166666666666665,"frozenset({'No Car', 'MALE'})",2
0.3466666666666667,"frozenset({'Yes save_act', 'MALE'})",2
0.245,"frozenset({'Has current_act', 'Is Married', 'MALE'})",3
0.23333333333333334,"frozenset({'Yes save_act', 'Is Married', 'MALE'})",3
0.245,"frozenset({'Has current_act', '(-0.003, 1.0]', 'MALE'})",3
0.22666666666666666,"frozenset({'Is Married', '(-0.003, 1.0]', 'MALE'})",3
0.225,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'MALE'})",3
0.23666666666666666,"frozenset({'Has current_act', 'MALE', 'No mortgage'})",3
0.22,"frozenset({'Yes save_act', 'MALE', 'No mortgage'})",3
0.205,"frozenset({'Is Married', 'MALE', 'No mortgage'})",3
0.265,"frozenset({'Yes save_act', 'MALE', 'Has current_act'})",3
0.36666666666666664,"frozenset({'Has current_act', 'Has Car'})",2
0.3233333333333333,"frozenset({'Is Married', 'Has Car'})",2
0.2633333333333333,"frozenset({'Has Car', 'No pep'})",2
0.24833333333333332,"frozenset({'MALE', 'Has Car'})",2
0.34833333333333333,"frozenset({'Yes save_act', 'Has Car'})",2
0.3233333333333333,"frozenset({'Has Car', 'No mortgage'})",2
0.31833333333333336,"frozenset({'(-0.003, 1.0]', 'Has Car'})",2
0.245,"frozenset({'FEMALE', 'Has Car'})",2
0.23666666666666666,"frozenset({'Has current_act', 'Is Married', 'Has Car'})",3
